,Material Damage,Minor injuries,Major injuries,Fatal
Mon,0.141025641025641,0.12,0.1265822784810126,0.0909090909090909
Tue,0.1282051282051282,0.176,0.1392405063291139,0.1818181818181818
Wed,0.1666666666666666,0.072,0.1392405063291139,0.2727272727272727
Thr,0.2307692307692307,0.16,0.0886075949367088,0.1818181818181818
Fri,0.1538461538461538,0.152,0.1518987341772152,0.0909090909090909
Sat,0.1025641025641025,0.192,0.2025316455696202,0.0909090909090909
Sun,0.0769230769230769,0.128,0.1518987341772152,0.0909090909090909
Man,0.935897435897436,0.968,0.9873417721518988,1.0
Woman,0.0641025641025641,0.032,0.0126582278481012,0.0
Dry,0.782051282051282,0.792,0.8354430379746836,0.9090909090909092
Wet,0.2179487179487179,0.2,0.1645569620253164,0.0909090909090909
Sandy,0.0,0.008,0.0,0.0
Morning,0.2179487179487179,0.16,0.1645569620253164,0.2727272727272727
Noon,0.3461538461538461,0.28,0.1645569620253164,0.0909090909090909
Afternoon,0.1282051282051282,0.112,0.2025316455696202,0.0909090909090909
Night,0.3076923076923077,0.448,0.4683544303797468,0.5454545454545454
Sedan,0.2307692307692307,0.128,0.050632911392405,0.0
Jeep,0.0384615384615384,0.016,0.0126582278481012,0.0
Pick Up,0.0512820512820512,0.112,0.0759493670886076,0.0
Minibus,0.2307692307692307,0.272,0.1645569620253164,0.1818181818181818
Bus,0.1153846153846153,0.032,0.1392405063291139,0.0909090909090909
Truck,0.3333333333333333,0.44,0.5569620253164557,0.7272727272727273
Straight flat,0.3846153846153846,0.432,0.4050632911392405,0.4545454545454545
Straight descend,0.2179487179487179,0.32,0.3037974683544304,0.2727272727272727
Straight ascend,0.1153846153846153,0.08,0.1139240506329113,0.0909090909090909
Curve flat,0.0769230769230769,0.08,0.0253164556962025,0.0
Curve descend,0.141025641025641,0.056,0.1139240506329113,0.1818181818181818
Curve ascend,0.0641025641025641,0.032,0.0379746835443038,0.0
Dry,0.782051282051282,0.792,0.8354430379746836,0.9090909090909091
Wet,0.21794871794871795,0.2,0.16455696202531644,0.09090909090909091
Sandy,0.0,0.008,0.0,0.0
